Date,date,spy_price,spy_return,vix,prob,actual_crash,signal,stock_balance,has_active_option,option_start_idx,option_expiry_idx,strike_price,option_price,option_cost,option_exist_dollar_return,option_balance,cash_balance,exit_type,strategy_balance,strategy_return,cum_strategy_dollar_return,cum_strategy_return,benchmark_balance,cum_benchmark_dollar_return,cum_benchmark_return,benchmark_return,strategy_peak,benchmark_peak,strategy_drawdown,benchmark_drawdown
2024-08-21,2024-08-21,555.36,0.0034329490839446475,16.27,0.1924945607073426,0.0,0,555.36,False,-1,-1,,,,,0.0,14.116494992272294,,569.4764949922724,0.0033475663928366206,100.23649499227236,0.21361455756600536,555.36,86.12,0.18353081578723043,0.0034329490839446475,0.21361455756600536,0.1924814593811268,0.0,-0.007505897490885565
2024-08-22,2024-08-22,551.0,-0.007850763468741029,17.55,0.2205636545839136,0.0,0,551.0,False,-1,-1,,,,,0.0,14.116494992272294,,565.1164949922722,-0.007656154447707841,95.87649499227223,0.20432293707329346,551.0,81.75999999999999,0.17423919529451878,-0.007850763468741029,0.21361455756600536,0.1924814593811268,-0.0076561544477077945,-0.015297733933805029
2024-08-23,2024-08-23,556.86,0.010635208711433863,15.86,0.18077612136441445,0.0,0,556.86,False,-1,-1,,,,,0.0,14.116494992272294,,570.9764949922724,0.010369543363055289,101.73649499227236,0.21681121599239697,556.86,87.62,0.18672747421362204,0.010635208711433863,0.21681121599239697,0.1924814593811268,0.0,-0.004825219815569249
2024-08-26,2024-08-26,555.53,-0.002388392055453825,16.15,0.18419779628877275,0.0,0,555.53,False,-1,-1,,,,,0.0,14.116494992272294,,569.6464949922722,-0.002329342821753344,100.4064949922722,0.21397684552099608,555.53,86.28999999999996,0.18389310374222137,-0.002388392055453825,0.21681121599239697,0.1924814593811268,-0.0023293428217533814,-0.00720208735434981
2024-08-27,2024-08-27,556.29,0.0013680629308947534,15.43,0.1771642270536674,0.0,0,556.29,False,-1,-1,,,,,0.0,14.116494992272294,,570.4064949922722,0.0013341607587882276,101.16649499227219,0.2155964857903678,556.29,87.04999999999995,0.18551274401159312,0.0013680629308947534,0.21681121599239697,0.1924814593811268,-0.000998289780751625,-0.00584387733218954
2024-08-28,2024-08-28,553.06,-0.00580632403961967,17.11,0.20793374119356262,0.0,0,553.06,False,-1,-1,,,,,0.0,14.116494992272294,,567.1764949922722,-0.0056626283682897904,97.93649499227217,0.20871301464553782,553.06,83.81999999999994,0.17862927286676314,-0.00580632403961967,0.21681121599239697,0.1924814593811268,-0.006655265205009215,-0.01161626992637072
2024-08-29,2024-08-29,553.11,9.040610422017537e-05,15.65,0.2432853905602499,0.0,0,553.11,False,-1,-1,,,,,0.0,14.116494992272294,,567.2264949922724,8.81559804428722e-05,97.98649499227236,0.20881956992641793,553.11,83.87,0.178735828147643,9.040610422017537e-05,0.21681121599239697,0.1924814593811268,-0.006567695925995624,-0.011526914003860063
2024-08-30,2024-08-30,558.39,0.009546021587025999,15.0,0.334671068087518,0.0,0,558.39,False,-1,-1,,,,,0.0,14.116494992272294,,572.5064949922723,0.009308450939111923,103.26649499227233,0.22007180758731634,558.39,89.14999999999998,0.1899880658085414,0.009546021587025999,0.22007180758731634,0.1924814593811268,0.0,-0.0020909285867466636
2024-09-03,2024-09-03,546.9,-0.020577016064041276,20.72,0.05877658806534099,0.0,0,546.9,False,-1,-1,,,,,0.0,14.116494992272294,,561.0164949922723,-0.020069641306261654,91.77649499227232,0.1955854040411566,546.9,77.65999999999997,0.16550166226238167,-0.020577016064041276,0.22007180758731634,0.1924814593811268,-0.02006964130626167,-0.022624919579669674
2024-09-04,2024-09-04,545.78,-0.002047906381422604,21.32,0.05872352439081324,0.0,0,545.78,False,-1,-1,,,,,0.0,14.116494992272294,,559.8964949922722,-0.001996376238483921,90.6564949922722,0.1931985657494506,545.78,76.53999999999996,0.1631148239706759,-0.002047906381422604,0.22007180758731634,0.1924814593811268,-0.022025950989726904,-0.024626492243905892
